5089,-585,16169,-67,-41,0
5100,-585,16156,-73,-41,0
5104,-585,16147,-70,-40,6
5104,-589,16163,-66,-39,11
5102,-594,16170,-66,-36,7
5098,-599,16174,-59,-38,3
5099,-596,16181,-58,-38,1
5099,-592,16178,-65,-35,3
5093,-593,16183,-63,-36,8
5090,-592,16190,-65,-37,7
5087,-594,16190,-68,-36,1
5085,-591,16187,-62,-38,0
5086,-584,16183,-64,-36,1
5094,-590,16181,-69,-32,4
5088,-588,16187,-66,-33,9
5092,-594,16190,-67,-32,5
5089,-590,16179,-69,-31,0
5093,-587,16177,-65,-34,0
5095,-582,16174,-69,-31,4
5095,-584,16170,-71,-27,7
5092,-583,16174,-67,-30,9
5096,-588,16173,-66,-31,3
5093,-586,16165,-66,-29,0
5097,-586,16174,-62,-31,2
5098,-585,16175,-69,-30,5
5095,-587,16178,-70,-29,6
5092,-586,16185,-66,-32,5
5091,-588,16182,-69,-31,0
5092,-587,16170,-69,-31,0
5092,-582,16174,-67,-31,6
5095,-585,16171,-73,-29,8
5096,-591,16173,-71,-30,6
5096,-593,16173,-64,-32,3
5097,-587,16168,-66,-30,0
5095,-586,16172,-66,-30,2
5094,-583,16178,-65,-31,7
5094,-586,16175,-70,-28,6
5089,-588,16177,-66,-30,3
5091,-587,16181,-61,-33,0
5091,-583,16173,-68,-31,0
5094,-586,16169,-68,-31,5
5097,-587,16174,-66,-32,10
5097,-591,16180,-69,-29,5
5094,-592,16183,-63,-32,2
5093,-588,16184,-60,-34,0
5091,-586,16181,-67,-30,1
5090,-584,16178,-66,-31,7
5091,-585,16185,-64,-31,8
5089,-585,16186,-67,-30,0
5084,-581,16188,-64,-34,-3
5088,-576,16190,-63,-35,0
5086,-574,16183,-70,-31,3
5083,-570,16187,-69,-33,8
5088,-573,16191,-67,-36,8
5090,-574,16185,-68,-35,1
5090,-573,16187,-64,-36,1
5093,-570,16191,-66,-35,4
5093,-573,16190,-70,-32,6
5086,-574,16193,-65,-33,7
5090,-575,16197,-63,-34,3
5087,-573,16191,-65,-33,-1
5084,-568,16190,-62,-33,1
5087,-568,16191,-66,-31,6
5085,-572,16189,-70,-30,7
5084,-574,16194,-64,-32,6
5085,-574,16193,-65,-32,1
5086,-575,16189,-66,-29,0
5081,-569,16195,-64,-29,5
5080,-568,16199,-70,-27,7
5077,-570,16190,-73,-27,5
5081,-570,16188,-67,-30,2
5083,-564,16184,-69,-29,-1
5089,-565,16173,-72,-26,0
5090,-563,16171,-69,-27,7
5095,-568,16182,-70,-24,8
5095,-571,16181,-68,-25,4
5093,-570,16186,-62,-29,2
5091,-568,16182,-67,-27,0
5089,-566,16175,-70,-27,5
5086,-565,16179,-67,-28,11
5083,-570,16193,-69,-24,7
5069,-561,16192,-69,-28,2
5083,-561,16180,-68,-30,2
5091,-558,16168,-73,-25,2
5088,-562,16170,-74,-24,6
5084,-556,16174,-73,-28,9
5089,-562,16176,-74,-27,3
5084,-558,16175,-69,-30,0
5087,-555,16177,-67,-31,3
5089,-555,16174,-73,-28,6
5084,-555,16179,-72,-29,9
5082,-555,16180,-70,-32,9
5085,-560,16182,-71,-32,1
5079,-557,16186,-68,-33,0
5079,-553,16186,-68,-33,3
5079,-552,16182,-74,-32,7
5076,-554,16180,-70,-35,9
5076,-554,16187,-67,-37,6
5076,-552,16186,-68,-35,0
5072,-546,16180,-65,-38,0
5076,-544,16178,-67,-36,6
5078,-546,16180,-72,-32,8
5072,-548,16186,-67,-35,8
5074,-550,16193,-65,-35,4
5074,-551,16186,-68,-33,0
5073,-547,16185,-66,-36,5
5075,-548,16185,-71,-34,9
5075,-552,16180,-74,-31,8
5073,-553,16188,-68,-35,6
5080,-554,16189,-67,-35,0
5079,-549,16180,-69,-34,0
5081,-547,16178,-66,-33,8
5081,-547,16180,-69,-32,10
5080,-552,16180,-70,-30,6
5081,-552,16179,-65,-33,4
5083,-554,16179,-67,-31,1
5080,-551,16171,-70,-28,3
